"SYMBOL" "ENTREZID"
"222" "TARBP1" "6894"
"223" "DHRSX" "207063"
"224" "RCL1" "10171"
"225" "ATP5MC1" "516"
"226" "PCYOX1L" "78991"
"227" "JAZF1" "221895"
"228" "SPRYD4" "283377"
"229" "SLC18B1" "116843"
"230" "SAAL1" "113174"
"231" "TREML2" "79865"
"232" "GALNT14" "79623"
"233" "FUNDC2" "65991"
"234" "RNF187" "149603"
"235" "RANBP10" "57610"
"236" "APRT" "353"
"237" "CUL4A" "8451"
"238" "MCCC2" "64087"
"239" "PPT2" "9374"
"240" "KLHL2" "11275"
"241" "UBP1" "7342"
"242" "GEMIN8" "54960"
"243" "GCLC" "2729"
"244" "SLC7A1" "6541"
"245" "TPST1" "8460"
"246" "FGD4" "121512"
"247" "SLA" "6503"
"248" "FBXL13" "222235"
"249" "JUND" "3727"
"250" "B4GALT3" "8703"
"251" "ALOX5AP" "241"
"252" "ODC1" "4953"
"253" "NUP93" "9688"
"254" "FCAR" "2204"
"255" "CDKN1A" "1026"
"256" "LYVE1" "10894"
"257" "PACSIN2" "11252"
"258" "MTPAP" "55149"
"259" "C8orf33" "65265"
"260" "STEAP4" "79689"
"261" "APMAP" "57136"
"263" "ENOX1" "55068"
"264" "PSMF1" "9491"
"265" "PLOD1" "5351"
"266" "CD180" "4064"
"267" "TBC1D22B" "55633"
"268" "SRRD" "402055"
"269" "CNPPD1" "27013"
"270" "EFHC2" "80258"
"271" "TMEM71" "137835"
"272" "RAB2B" "84932"
"273" "SNCA" "6622"
"274" "MNDA" "4332"
"275" "CDK6" "1021"
"276" "MXD4" "10608"
"277" "MRPL14" "64928"
"278" "FIS1" "51024"
"279" "ACSS3" "79611"
"280" "ALPP" "250"
"281" "SLC37A3" "84255"
"282" "EMCN" "51705"
"283" "HPS1" "3257"
"284" "CSF2RB" "1439"
"285" "DUX4" "100288687"
"286" "EXTL3" "2137"
"287" "PYGL" "5836"
"288" "CADM4" "199731"
"289" "TNFRSF10C" "8794"
"290" "ANGEL1" "23357"
"291" "GATA1" "2623"
"292" "ATIC" "471"
"293" "CAMSAP1" "157922"
"294" "DMTN" "2039"
"295" "EIF2AK1" "27102"
"296" "TNFSF14" "8740"
"297" "CAB39" "51719"
"298" "E2F2" "1870"
"299" "VAV1" "7409"
"300" "BBS2" "583"
"301" "EPB42" "2038"
"302" "AP2A1" "160"
"303" "TNFSF11" "8600"
"304" "GSPT1" "2935"
"305" "CHSY1" "22856"
"306" "CHRNA10" "57053"
"307" "RUNDC3A" "10900"
"308" "ICAM4" "3386"
"310" "BAG1" "573"
"311" "LYL1" "4066"
"312" "SUMO3" "6612"
"313" "SH3GL1" "6455"
"314" "TOMM6" "100188893"
"315" "FECH" "2235"
"316" "KCNJ2" "3759"
"319" "HRH2" "3274"
"320" "ADAM15" "8751"
"321" "PFKFB3" "5209"
"322" "SHARPIN" "81858"
"323" "NDUFS8" "4728"
"324" "YBX3" "8531"
"325" "R3HDM1" "23518"
"326" "KCNJ15" "3772"
"327" "IL1RAP" "3556"
"328" "DOK4" "55715"
"329" "DPM2" "8818"
"330" "PDCD2L" "84306"
"331" "TANGO6" "79613"
"332" "AKAP5" "9495"
"333" "ZNF438" "220929"
"334" "NOTCH3" "4854"
"335" "TESC" "54997"
"336" "AGBL5" "60509"
"337" "KIAA1257" "57501"
"338" "RASL10B" "91608"
"339" "MCL1" "4170"
"340" "SPTB" "6710"
"341" "FAM171A2" "284069"
"342" "IRS2" "8660"
"343" "SLC1A5" "6510"
"344" "KIAA0232" "9778"
"345" "RILPL1" "353116"
"346" "TAL1" "6886"
"347" "FOSL2" "2355"
"348" "ARHGAP19" "84986"
"349" "IQGAP1" "8826"
"350" "NDUFAF3" "25915"
"351" "TMEM245" "23731"
"352" "MLANA" "2315"
"353" "MRC2" "9902"
"354" "KCNE1" "3753"
"355" "KCNA3" "3738"
"356" "FAM174A" "345757"
"357" "BCL6" "604"
"358" "CYP26C1" "340665"
"359" "TGFBRAP1" "9392"
"360" "LSM2" "57819"
"361" "PLPP5" "84513"
"362" "RGS2" "5997"
"363" "POGK" "57645"
"364" "PPOX" "5498"
"365" "USP10" "9100"
"366" "WDR11" "55717"
"367" "PHLDB1" "23187"
"368" "NFIL3" "4783"
"369" "ELF2" "1998"
"370" "TLE3" "7090"
"371" "RNASEL" "6041"
"372" "TMEM138" "51524"
"373" "FKBP8" "23770"
"374" "CHKA" "1119"
"375" "NSMCE4A" "54780"
"376" "CLEC18A" "348174"
"377" "HDAC9" "9734"
"378" "LRRC69" "100130742"
"379" "NKAP" "79576"
"380" "FAHD1" "81889"
"381" "ATE1" "11101"
"382" "ARFGAP3" "26286"
"383" "PHF23" "79142"
"384" "GUK1" "2987"
"385" "THTPA" "79178"
"386" "ADAMTS2" "9509"
"387" "TNF" "7124"
"388" "NT5E" "4907"
"389" "NAXD" "55739"
"390" "CASS4" "57091"
"391" "PIK3R2" "5296"
"392" "SNX3" "8724"
"393" "PLIN5" "440503"
"394" "KPNB1" "3837"
"395" "SELENBP1" "8991"
"397" "NHLRC4" "283948"
"398" "TREM1" "54210"
"399" "MAP2K4" "6416"
"400" "PBX2" "5089"
"401" "PTGES2" "80142"
"402" "KIAA0825" "285600"
"403" "CAV1" "857"
"404" "RNF112" "7732"
"405" "TXNRD2" "10587"
"406" "SNRNP25" "79622"
"407" "HS3ST2" "9956"
"408" "BICDL1" "92558"
"409" "SLCO4C1" "353189"
"410" "ANKRD9" "122416"
"411" "PCED1B" "91523"
"412" "GALNT16" "57452"
"413" "TMEM63B" "55362"
"414" "PLXNC1" "10154"
"415" "ACOX1" "51"
"416" "TFDP1" "7027"
"417" "LBR" "3930"
"418" "PROK2" "60675"
"419" "CXCR2" "3579"
"420" "STOML2" "30968"
"421" "RNF126" "55658"
"422" "EREG" "2069"
"423" "NUDT1" "4521"
"424" "NINL" "22981"
"425" "TXNL4A" "10907"
"426" "ZFYVE19" "84936"
"427" "ERMARD" "55780"
"428" "ZNF106" "64397"
"429" "DNAJC16" "23341"
"430" "LRRC19" "64922"
"431" "KCNT1" "57582"
"432" "SPAG9" "9043"
"433" "KIAA1191" "57179"
"434" "CEP85" "64793"
"436" "UBN1" "29855"
"437" "CD84" "8832"
"438" "NBPF11" "200030"
"439" "IL6R" "3570"
"440" "LAMP1" "3916"
"441" "URB1" "9875"
"442" "C20orf27" "54976"
