"SYMBOL" "ENTREZID"
"220" "LCP1" "3936"
"221" "LIN7A" "8825"
"222" "CHST11" "50515"
"223" "TXNDC12" "51060"
"224" "TIGD3" "220359"
"225" "DHRS7B" "25979"
"226" "CD63" "967"
"227" "S100A11" "6282"
"229" "TREM1" "54210"
"230" "RIT1" "6016"
"231" "RRAGC" "64121"
"232" "HSPA6" "3310"
"233" "B3GNT8" "374907"
"234" "RHOB" "388"
"235" "ELOVL5" "60481"
"236" "DEF8" "54849"
"237" "YIPF1" "54432"
"238" "UNC119" "9094"
"239" "ASAH1" "427"
"240" "FCGR2B" "2213"
"241" "ASB8" "140461"
"242" "CIR1" "9541"
"243" "DHTKD1" "55526"
"244" "CNPY3" "10695"
"245" "FAM49B" "51571"
"246" "NOP10" "55505"
"247" "PRELID1" "27166"
"248" "ZNF20" "7568"
"249" "DOK3" "79930"
"250" "CYBA" "1535"
"251" "PRKAR1A" "5573"
"252" "KLHL21" "9903"
"253" "TST" "7263"
"255" "ZC3H10" "84872"
"256" "BIN2" "51411"
"257" "ITGA5" "3678"
"258" "ARFGAP3" "26286"
"259" "TLR6" "10333"
"260" "PTTG1IP" "754"
"261" "GMPR2" "51292"
"262" "PYCARD" "29108"
"263" "AMD1" "262"
"264" "KIAA0040" "9674"
"265" "RNASEL" "6041"
"266" "CYTIP" "9595"
"267" "BAZ1A" "11177"
"268" "ZNF200" "7752"
"269" "CTSS" "1520"
"270" "SLC22A4" "6583"
"271" "CACUL1" "143384"
"272" "EXOG" "9941"
"273" "RBM23" "55147"
"274" "BCAP31" "10134"
"275" "RP2" "6102"
"276" "IST1" "9798"
"277" "PELI1" "57162"
"278" "PPIF" "10105"
"279" "SIRT7" "51547"
"280" "EXOC8" "149371"
"281" "CD53" "963"
"282" "PIGX" "54965"
"283" "RAB11FIP1" "80223"
"284" "RHOA" "387"
"285" "ANAPC13" "25847"
"286" "HCLS1" "3059"
"287" "PSEN1" "5663"
"288" "UBP1" "7342"
"289" "IRF2BPL" "64207"
"290" "OSBPL11" "114885"
"291" "FUT7" "2529"
"292" "FPR2" "2358"
"293" "GRB2" "2885"
"294" "IPMK" "253430"
"295" "PPP4R1" "9989"
"296" "RNASE6" "6039"
"297" "CYB5R4" "51167"
"298" "MAP3K2" "10746"
"299" "TNFAIP8L2" "79626"
"300" "BORCS6" "54785"
"301" "NINJ1" "4814"
"302" "CCM2" "83605"
"303" "IFNAR1" "3454"
"304" "FLOT1" "10211"
"305" "EPHB1" "2047"
"306" "ZSWIM6" "57688"
"307" "PAFAH1B2" "5049"
"308" "SH3PXD2A" "9644"
"309" "MSRB2" "22921"
"310" "GCA" "25801"
"311" "TMEM43" "79188"
"312" "FBXL5" "26234"
"313" "ACACA" "31"
"314" "RAB5IF" "55969"
"315" "ATP6V0E1" "8992"
"316" "RGS2" "5997"
"317" "LMO2" "4005"
"318" "MCL1" "4170"
"319" "LUC7L" "55692"
"320" "GOLGA7B" "401647"
"321" "CNTRL" "11064"
"322" "PIK3CG" "5294"
"323" "UBTD1" "80019"
"324" "SLC40A1" "30061"
"325" "CDC123" "8872"
"326" "OSBPL2" "9885"
"327" "VNN3" "55350"
"328" "TIMM23B" "100652748"
"329" "AATK" "9625"
"330" "CHMP2A" "27243"
"331" "CPQ" "10404"
"332" "MME" "4311"
"333" "DEDD2" "162989"
"334" "CSNK2A2" "1459"
"335" "VMP1" "81671"
"336" "SYTL3" "94120"
"337" "SELL" "6402"
"338" "CHMP3" "51652"
"339" "PLEKHO1" "51177"
"340" "RAB31" "11031"
"341" "LBR" "3930"
"342" "IL6R" "3570"
"343" "ST8SIA1" "6489"
"344" "ARPC1A" "10552"
"345" "MARC1" "64757"
"346" "SDF2" "6388"
"347" "PPP1R15B" "84919"
"348" "GNG5" "2787"
"349" "MMP9" "4318"
"350" "SMIM3" "85027"
"351" "TALDO1" "6888"
"352" "HAL" "3034"
"353" "UBE2D1" "7321"
"354" "ERV3-1" "2086"
"355" "ARPC3" "10094"
"356" "MARCKS" "4082"
"357" "PPP4C" "5531"
"358" "LYRM1" "57149"
"359" "CPA3" "1359"
"360" "TXNRD1" "7296"
"361" "ANKRD13A" "88455"
"362" "CYTH4" "27128"
"363" "KBTBD7" "84078"
"364" "RAC1" "5879"
"365" "ARPC5" "10092"
"366" "LRCH3" "84859"
"367" "BRI3" "25798"
"368" "C2orf68" "388969"
"369" "USF1" "7391"
"370" "ADAM8" "101"
"371" "NUDT5" "11164"
"372" "ABHD3" "171586"
"373" "SLC43A2" "124935"
"374" "SLC16A3" "9123"
"375" "GADD45B" "4616"
"376" "ATP6V0D1" "9114"
"377" "SNRK" "54861"
"378" "NHS" "4810"
"379" "SOD2" "6648"
"380" "RGS14" "10636"
"381" "VRK3" "51231"
"382" "RPS6KA1" "6195"
"383" "GALNT3" "2591"
"384" "NFIL3" "4783"
"385" "PARP15" "165631"
"386" "MFSD14A" "64645"
"387" "MPPE1" "65258"
"388" "FCGR3B" "2215"
"389" "RNF19B" "127544"
"390" "SUPT4H1" "6827"
"391" "ATP6V1B2" "526"
"392" "HTATIP2" "10553"
"393" "IPO9" "55705"
"394" "PPP1R15A" "23645"
"395" "APMAP" "57136"
"396" "MIEF2" "125170"
"397" "AKIRIN2" "55122"
"398" "TP53INP1" "94241"
"399" "RNF145" "153830"
"400" "TLR8" "51311"
"401" "PLAUR" "5329"
"402" "BST1" "683"
"403" "SPATA2L" "124044"
"404" "BTRC" "8945"
"405" "LRIG2" "9860"
"406" "LIMD2" "80774"
"407" "OSER1" "51526"
"408" "CLEC4E" "26253"
"409" "CNEP1R1" "255919"
"410" "PLIN3" "10226"
"412" "RGS19" "10287"
"413" "GNAI3" "2773"
"414" "MAPK1" "5594"
"415" "MSH3" "4437"
"416" "ABCA1" "19"
"417" "MID1IP1" "58526"
"418" "MAPK3" "5595"
"419" "MXD1" "4084"
"420" "LSMEM1" "286006"
"421" "UBC" "7316"
"422" "FLI1" "2313"
"423" "ARRDC3" "57561"
"424" "ITPRIP" "85450"
"425" "ADARB1" "104"
"426" "STK4" "6789"
"427" "EXTL3" "2137"
"428" "THBD" "7056"
"429" "RAB32" "10981"
"430" "DNAJB12" "54788"
"431" "TULP4" "56995"
"432" "GLIPR1" "11010"
"433" "CERS2" "29956"
"434" "XPO5" "57510"
"435" "JAML" "120425"
"436" "SH3GLB1" "51100"
"437" "RTN3" "10313"
"438" "ZC3H12D" "340152"
"439" "RRH" "10692"
"440" "OSGIN2" "734"
"441" "TAMM41" "132001"
"442" "PYGL" "5836"
"443" "CXCR2" "3579"
"444" "ZNF274" "10782"
"445" "DPEP2" "64174"
"446" "PLEKHG3" "26030"
"447" "ZNF586" "54807"
"448" "OTUD1" "220213"
"449" "OGFRL1" "79627"
"450" "SNN" "8303"
"451" "IRF1" "3659"
"452" "DEGS1" "8560"
"453" "DYNC1LI1" "51143"
"454" "ST20-MTHFS" "100528021"
"455" "RBP7" "116362"
"456" "SERTAD3" "29946"
"457" "TOR1AIP1" "26092"
"458" "NUP50" "10762"
"459" "RALB" "5899"
"460" "STX10" "8677"
"461" "AURKAIP1" "54998"
"462" "CAB39" "51719"
"463" "NPTN" "27020"
"464" "ASPRV1" "151516"
"465" "VAMP3" "9341"
"466" "N4BP1" "9683"
"467" "CASP8" "841"
"468" "RABIF" "5877"
"469" "CDHR3" "222256"
"470" "IL1RN" "3557"
"471" "APC" "324"
"472" "GOLGA7" "51125"
"473" "PISD" "23761"
"474" "SNAP23" "8773"
"475" "IL1RAP" "3556"
"476" "RTF1" "23168"
"477" "LONRF1" "91694"
"478" "RAB37" "326624"
"479" "SLC18A2" "6571"
"480" "NBR1" "4077"
"481" "R3HDM1" "23518"
"482" "LRG1" "116844"
"483" "MRVI1" "10335"
"484" "KRT23" "25984"
"485" "JUNB" "3726"
"486" "GBE1" "2632"
"487" "KCTD2" "23510"
"488" "GNB2" "2783"
"489" "DNAJC3" "5611"
"490" "RASSF5" "83593"
"491" "TUBA1A" "7846"
"492" "ING1" "3621"
"493" "PGK1" "5230"
"494" "PRCP" "5547"
"495" "MINDY1" "55793"
"496" "RAB1A" "5861"
"497" "HACD4" "401494"
"498" "KAT8" "84148"
"499" "SAMD8" "142891"
"500" "DNTTIP1" "116092"
"501" "AKT1" "207"
"502" "CTPS1" "1503"
"503" "RGL4" "266747"
"504" "IFNGR1" "3459"
"505" "ARPC4" "10093"
"506" "C19orf38" "255809"
"507" "ARPC2" "10109"
"508" "TOM1" "10043"
"509" "ORAI2" "80228"
"510" "CDKN1B" "1027"
"511" "PRMT5" "10419"
"512" "KCNJ2" "3759"
"513" "ZNF768" "79724"
"514" "CBX1" "10951"
"515" "TMEM115" "11070"
"516" "CRLF3" "51379"
"517" "OGFR" "11054"
"518" "SLC15A3" "51296"
"519" "TUT7" "79670"
"520" "TREML2" "79865"
"521" "ZNF763" "284390"
"522" "MEFV" "4210"
"523" "CCNG2" "901"
"524" "KBTBD2" "25948"
"525" "SLC22A15" "55356"
"526" "C1QTNF3" "114899"
"527" "SUSD4" "55061"
"528" "ARHGAP30" "257106"
"529" "CHSY1" "22856"
"530" "MCTP2" "55784"
"531" "CUBN" "8029"
"532" "CD46" "4179"
"533" "SPI1" "6688"
"534" "KIF13A" "63971"
"535" "ESRRA" "2101"
"536" "CXorf38" "159013"
"537" "NIT1" "4817"
"538" "VSIR" "64115"
"539" "CAP1" "10487"
"540" "CPD" "1362"
"541" "C11orf54" "28970"
"542" "TRIB1" "10221"
"543" "MED18" "54797"
"544" "TNFSF10" "8743"
"545" "IL1R2" "7850"
"546" "NDUFB6" "4712"
"547" "STX3" "6809"
"548" "SYF2" "25949"
"549" "TMEM167B" "56900"
"550" "TFEB" "7942"
"551" "NMNAT1" "64802"
"552" "GMFG" "9535"
"553" "ACSL1" "2180"
"554" "SNX18" "112574"
"555" "PPP1R11" "6992"
"556" "KLF5" "688"
"557" "PLPPR2" "64748"
"558" "CLYBL" "171425"
"559" "ARID4B" "51742"
"560" "URB1" "9875"
"561" "CFP" "5199"
"562" "BIN3" "55909"
"563" "BRCA1" "672"
"564" "ERF" "2077"
"565" "TRIM39" "56658"
"566" "PFKFB4" "5210"
"567" "PROK2" "60675"
"568" "SCYL1" "57410"
"569" "ZNF117" "51351"
"570" "TRIM21" "6737"
"571" "INPP5A" "3632"
"572" "FAM126B" "285172"
"573" "LST1" "7940"
"574" "TRPC4AP" "26133"
"575" "MANSC1" "54682"
"576" "AGO4" "192670"
"577" "STK38L" "23012"
"578" "MAPKAPK5" "8550"
"579" "PJA2" "9867"
"580" "MRTFB" "57496"
"581" "RPN1" "6184"
"582" "GAS6" "2621"
"583" "LMAN2" "10960"
"584" "CIDEB" "27141"
"585" "ZFAND2B" "130617"
"586" "ACVR1" "90"
"587" "PSMB9" "5698"
"588" "VPS4B" "9525"
"589" "ZNF552" "79818"
"590" "DHRS13" "147015"
"591" "NCF1" "653361"
"592" "RGL2" "5863"
"593" "TNFRSF8" "943"
"594" "RAMAC" "83640"
"595" "SMIM29" "221491"
"596" "ELF2" "1998"
"597" "PTEN" "5728"
"598" "SP3" "6670"
"599" "XPO6" "23214"
"600" "HINT3" "135114"
"601" "HMGCR" "3156"
"602" "ANKRD13D" "338692"
"603" "SULF2" "55959"
"604" "NFKBIA" "4792"
"605" "TLR2" "7097"
"606" "RNF141" "50862"
"607" "THEMIS2" "9473"
"609" "SAP30L" "79685"
"610" "MLX" "6945"
"611" "TMEM245" "23731"
"612" "APAF1" "317"
"613" "KLHL2" "11275"
"614" "SAP30BP" "29115"
"615" "MPZL1" "9019"
"616" "LTB4R" "1241"
"617" "KIAA2013" "90231"
"618" "PLXNC1" "10154"
"619" "RNF214" "257160"
"620" "TMCC1" "23023"
"621" "PPP2R3C" "55012"
"622" "IMPDH1" "3614"
"623" "NMI" "9111"
"624" "LRCH4" "4034"
"625" "CEBPD" "1052"
"626" "CTBS" "1486"
"627" "TMEM50A" "23585"
"628" "CD93" "22918"
"629" "NR3C1" "2908"
"630" "GNA13" "10672"
"631" "TAGAP" "117289"
"632" "TWF2" "11344"
"633" "MTHFS" "10588"
"634" "ZNF697" "90874"
"635" "COP1" "64326"
"636" "CCDC71L" "168455"
"637" "UBXN2B" "137886"
"638" "MED11" "400569"
"639" "RB1CC1" "9821"
"640" "LETM2" "137994"
"641" "TMEM33" "55161"
"642" "ENTPD1" "953"
"643" "TTN" "7273"
"644" "MLLT10" "8028"
"645" "USP4" "7375"
"646" "FAM120AOS" "158293"
"647" "RSBN1L" "222194"
"648" "LMNB1" "4001"
"649" "MAP3K5" "4217"
"650" "PDZD8" "118987"
"651" "STXBP3" "6814"
"652" "GCSAML" "148823"
"653" "DIS3L2" "129563"
"654" "USP40" "55230"
"656" "RENBP" "5973"
"657" "SLC6A6" "6533"
"658" "TBC1D14" "57533"
"659" "RAB43" "339122"
"660" "AGPAT2" "10555"
"661" "GK" "2710"
"662" "ABI2" "10152"
"663" "RHOG" "391"
"664" "FAS" "355"
"665" "CORO1A" "11151"
"666" "SARAF" "51669"
"667" "RNF114" "55905"
"668" "CANT1" "124583"
"669" "CSF3R" "1441"
"670" "PDLIM7" "9260"
"671" "MVP" "9961"
"672" "SPAST" "6683"
"674" "PELO" "53918"
"675" "NPC2" "10577"
"676" "CFAP45" "25790"
"677" "SCCPDH" "51097"
"678" "EZH2" "2146"
"679" "GALNT7" "51809"
"680" "LRIF1" "55791"
"681" "CPEB2" "132864"
"682" "TBXAS1" "6916"
"683" "CLEC7A" "64581"
"684" "GNAI2" "2771"
"685" "RILPL2" "196383"
"686" "ZNF787" "126208"
"687" "CTBP2" "1488"
"688" "TNFRSF1B" "7133"
"689" "KBTBD4" "55709"
"690" "MAPKAPK3" "7867"
"691" "ATP6V1E1" "529"
"692" "C4orf3" "401152"
"693" "SGK1" "6446"
"694" "ZNF776" "284309"
"695" "ZSCAN16" "80345"
"696" "MYO1F" "4542"
"697" "ZFYVE16" "9765"
"698" "SLA" "6503"
"699" "MFSD5" "84975"
"700" "ABTB1" "80325"
"701" "TYK2" "7297"
"702" "CLP1" "10978"
"703" "SFT2D1" "113402"
"704" "TMEM59" "9528"
"705" "KIF27" "55582"
"706" "HDAC8" "55869"
"708" "AKIRIN1" "79647"
"709" "MED29" "55588"
"710" "CPPED1" "55313"
"711" "ALDH1A1" "216"
"712" "ATG3" "64422"
"713" "BICD2" "23299"
"714" "TADA2B" "93624"
"715" "EVA1B" "55194"
"716" "SCAF4" "57466"
"717" "VAV1" "7409"
"718" "COPE" "11316"
"719" "RAB33B" "83452"
"720" "CYTH2" "9266"
"721" "TTF2" "8458"
"722" "AKAP12" "9590"
"723" "SSH3" "54961"
"724" "CHMP1A" "5119"
"725" "SPATA5L1" "79029"
"726" "LRRC37A" "9884"
"727" "FBXO33" "254170"
"728" "YKT6" "10652"
"729" "COQ10B" "80219"
"730" "CRNKL1" "51340"
"731" "KLF2" "10365"
"732" "ACSL4" "2182"
"733" "ARID4A" "5926"
"734" "TM9SF1" "10548"
"735" "EFHC2" "80258"
"736" "SQOR" "58472"
"737" "SDHB" "6390"
"738" "ADGRE3" "84658"
"739" "SLC35A2" "7355"
"740" "COQ8B" "79934"
"741" "ETS2" "2114"
"742" "CDA" "978"
"743" "EAPP" "55837"
"744" "RAPGEF2" "9693"
"745" "SLC12A9" "56996"
"746" "TMEM154" "201799"
"747" "TNFRSF1A" "7132"
"748" "TMEM199" "147007"
"749" "RHEX" "440712"
"750" "MPRIP" "23164"
"751" "SBNO2" "22904"
"752" "IL1B" "3553"
"753" "STAG2" "10735"
"754" "AREL1" "9870"
"755" "C7orf25" "79020"
"756" "ZNF236" "7776"
"757" "MCMBP" "79892"
"758" "NDUFAF1" "51103"
"759" "MBOAT7" "79143"
"760" "DBNL" "28988"
"761" "ZNF143" "7702"
"762" "STX5" "6811"
"763" "APOL2" "23780"
"764" "ZFP36" "7538"
"765" "GLE1" "2733"
"766" "SPOPL" "339745"
"767" "FAM49A" "81553"
"768" "HSH2D" "84941"
"769" "LRRC25" "126364"
"770" "NDUFAF6" "137682"
"771" "ZNF33A" "7581"
"772" "PPM1D" "8493"
"773" "TIMM17B" "10245"
"774" "CKLF" "51192"
"775" "BEST1" "7439"
"776" "ZNF844" "284391"
"777" "TAGLN2" "8407"
"778" "RBM47" "54502"
"779" "OR2A7" "401427"
"780" "TLE4" "7091"
"781" "ACAP2" "23527"
"782" "HHEX" "3087"
"783" "GPR108" "56927"
"784" "JMJD1C" "221037"
"785" "SIPA1L2" "57568"
"786" "TECPR2" "9895"
"787" "S100A9" "6280"
"788" "SLC16A5" "9121"
"789" "ACAD11" "84129"
"790" "TACC1" "6867"
"791" "BACH1" "571"
"792" "FCGR3A" "2214"
"793" "HNRNPC" "3183"
"794" "PMF1" "11243"
"795" "ALOX5" "240"
"796" "RAB2A" "5862"
"797" "SLC39A1" "27173"
"798" "TUBA4A" "7277"
"799" "UBR2" "23304"
"800" "LSP1" "4046"
"801" "CDK5RAP2" "55755"
"802" "AHCTF1" "25909"
"803" "LPGAT1" "9926"
"804" "SLC25A44" "9673"
"805" "ZFYVE27" "118813"
"806" "TSPO" "706"
"808" "LATS2" "26524"
"809" "MYL12A" "10627"
"810" "ARRB2" "409"
"811" "DALRD3" "55152"
"812" "MFSD4B" "91749"
"813" "CEACAM3" "1084"
"814" "EZH1" "2145"
"815" "TNRC6A" "27327"
"816" "TUBA1B" "10376"
"817" "ACYP2" "98"
"818" "MMP25" "64386"
"819" "S100A4" "6275"
"820" "SMCHD1" "23347"
"821" "KCMF1" "56888"
"822" "ST3GAL4" "6484"
"823" "GLT1D1" "144423"
"824" "YPEL5" "51646"
"825" "ZNF281" "23528"
"826" "DUSP6" "1848"
"827" "PTPRC" "5788"
"828" "MDN1" "23195"
"830" "AP5B1" "91056"
"831" "ARHGEF40" "55701"
"832" "THEM4" "117145"
"833" "MOSPD2" "158747"
"835" "SLC11A2" "4891"
